,UNP
% Above Low,0.1351
% Held by Institutions,0.7720999999999999
52-Wk Range,['183.70 - 278.94']
Annual Dividend $,5.2
Annual Dividend %,0.024399999999999998
Ask,221.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,194.0
Bid Size,100.0
Closing Price,208.52
Day Change $,-4.81
Day Change %,-0.0225
Day High,212.43
Day Low,207.68
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",11.21
Ex-dividend,2022-08-30 00:00:00
Ex-dividend Date,08/30/22
Historical Volatility,0.262
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,128.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.02
Prev Close,213.33
Shares Outstanding,614.8M
Short Interest,0.0097
Today's Open,211.23
Volume,2755386.0
Volume 10-day Avg,3442609.0
Volume Past Day,(Below Average)
