,APO
Price/Earnings (TTM),
Price/Sales (TTM),5.19499
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,19.46
5yr High,81.07
5yr Avg Return,0.20450000000000002
EPS Growth 5yr,0.2831744
Revenue Growth 5yr,0.2347622
Dividend Growth 5yr,0.1093328
Short Int Current Month,9408909.0
Short Int Prev Month,10757554.0
Short Int Pct of Float,0.028671600000000002
Days to Cover,2.64175
Float,328.4687
Shares Outstanding,572.2836
Institutions Holding Shares,803.0
% Held by Institutions,0.54554
FCF Growth 5yr,0.0
