,APO
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.1674107142857142
Growth 1yr High Est,0.15221987315010566
Growth 1yr Consensus Est,0.15981529371790992
Growth 2yr Low Est,0.17261549098606932
Growth 2yr High Est,0.2871191108869794
Growth 2yr Consensus Est,0.22986730093652435
Growth 5yr Low Est,0.17261549098606932
Growth 5yr High Est,0.2871191108869794
Growth 5yr Consensus Est,0.22986730093652435
Growth 5yr Actual/Est,0.362913998884228
Growth 3yr Historic,0.250703299112199
