,APO
% Below High,0.1185
% Held by Institutions,0.5455
52-Wk Range,['45.62 - 75.39']
Annual Dividend $,1.6
Annual Dividend %,0.0241
Ask,74.22
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,65.25
Bid Size,100.0
Closing Price,66.46
Day Change $,1.14
Day Change %,0.0175
Day High,66.72
Day Low,65.03
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",-5.54
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.43200000000000005
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,38.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,65.32
Shares Outstanding,572.3M
Short Interest,0.0287
Today's Open,65.29
Volume,1016946.0
Volume 10-day Avg,2434214.0
Volume Past Day,(Light)
