,XPEL
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,1.6229508196721314
Growth 1yr High Est,1.5454545454545454
Growth 1yr Consensus Est,1.5842026825633384
Growth 2yr Low Est,0.9521004098360656
Growth 2yr High Est,0.9661796536796537
Growth 2yr Consensus Est,0.9591400317578597
Growth 5yr Low Est,0.6347336065573771
Growth 5yr High Est,0.6441197691197692
Growth 5yr Consensus Est,0.6394266878385731
Growth 5yr Actual/Est,0.4516397674903567
Growth 3yr Historic,0.26292335115864524
