,XPEL
% Below High,0.23199999999999998
% Held by Institutions,0.6033
52-Wk Range,['39.80 - 87.01']
Annual Dividend $,
Annual Dividend %,
Ask,71.13
Ask Size,200.0
B/A Ratio,6.0
B/A Size,1200x200
Beta,1.5
Bid,66.0
Bid Size,1200.0
Closing Price,66.82
Day Change $,-1.76
Day Change %,-0.025699999999999997
Day High,68.65
Day Low,66.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.42
Ex-dividend Date,No dividend
Historical Volatility,0.552
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",48.28
Prev Close,68.58
Shares Outstanding,27.6M
Short Interest,0.079
Today's Open,68.22
Volume,90100.0
Volume 10-day Avg,122542.0
Volume Past Day,(Light)
