,GPS
% Below High,0.2214
% Held by Institutions,0.5726
52-Wk Range,['7.79 - 19.06']
Annual Dividend $,0.6
Annual Dividend %,0.0404
Ask,14.88
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.8
Bid,14.85
Bid Size,400.0
Closing Price,14.84
Day Change $,0.1
Day Change %,0.0068000000000000005
Day High,15.04
Day Low,14.73
Dividend Pay Date,2023-01-25 00:00:00
"EPS (TTM, GAAP)",0.11
Ex-dividend,2023-01-03 00:00:00
Ex-dividend Date,01/03/23
Historical Volatility,0.596
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",137.42
Prev Close,14.74
Shares Outstanding,365.0M
Short Interest,0.1973
Today's Open,14.77
Volume,4451706.0
Volume 10-day Avg,13230086.0
Volume Past Day,(Light)
