,GPS
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.7434782608695651
Growth 1yr High Est,-1.0940594059405941
Growth 1yr Consensus Est,-0.9187688334050796
Growth 2yr Low Est,-1.1937730287398673
Growth 2yr High Est,1.979286086503387
Growth 2yr Consensus Est,0.3927565288817598
Growth 5yr Low Est,-0.7958486858265782
Growth 5yr High Est,1.3195240576689247
Growth 5yr Consensus Est,0.26183768592117324
Growth 5yr Actual/Est,-3.0633826112060047
Growth 3yr Historic,-0.9383826112060047
