,TDCX
Price/Earnings (TTM),19.53033
Price/Sales (TTM),3.3136
Price/Book (MRQ),3.88981
Price/Cash Flow (TTM),14.43344
5yr Low,6.52
5yr High,30.0
5yr Avg Return,-0.23159999999999997
Short Int Current Month,899323.0
Short Int Prev Month,1020008.0
Short Int Pct of Float,0.0407694
Days to Cover,2.91401
Float,22.05798
Shares Outstanding,145.7628
Institutions Holding Shares,89.0
% Held by Institutions,0.887419
FCF Growth 5yr,0.2497429524235032
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
