,NBTB
% Below High,0.025099999999999997
% Held by Institutions,0.5710000000000001
52-Wk Range,['34.58 - 48.68']
Annual Dividend $,1.2
Annual Dividend %,0.0253
Ask,51.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,42.69
Bid Size,100.0
Closing Price,47.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.54
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.231
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.41
Prev Close,47.46
Shares Outstanding,42.8M
Short Interest,0.015300000000000001
Today's Open,
Volume,39380.0
Volume 10-day Avg,108038.0
Volume Past Day,(Light)
