,NBTB
Price/Earnings (TTM),13.4114
Price/Sales (TTM),3.98515
Price/Book (MRQ),1.75795
Price/Cash Flow (TTM),12.27041
5yr Low,26.1
5yr High,48.68
5yr Avg Return,0.0461
EPS Growth 5yr,0.1453442
Revenue Growth 5yr,0.0344363
Dividend Growth 5yr,0.0409504
Short Int Current Month,627533.0
Short Int Prev Month,723470.0
Short Int Pct of Float,0.0152775
Days to Cover,4.80323
Float,41.11918
Shares Outstanding,42.8399
Institutions Holding Shares,250.0
% Held by Institutions,0.571048
FCF Growth 5yr,0.5575008089044199
