,BSX
Price/Earnings (TTM),106.3702
Price/Sales (TTM),5.03195
Price/Book (MRQ),3.58433
Price/Cash Flow (TTM),36.57406
5yr Low,24.1
5yr High,47.5
5yr Avg Return,0.09974999999999999
EPS Growth 5yr,0.2221479
Revenue Growth 5yr,0.0722864
Dividend Growth 5yr,
Short Int Current Month,13165568.0
Short Int Prev Month,13905372.0
Short Int Pct of Float,0.0092149
Days to Cover,1.8186
Float,1429.194
Shares Outstanding,1432.311
Institutions Holding Shares,1281.0
% Held by Institutions,0.9243380000000001
FCF Growth 5yr,3.8683710599774783
