,BSX
% Below High,0.0704
% Held by Institutions,0.9243000000000001
52-Wk Range,['34.98 - 47.50']
Annual Dividend $,
Annual Dividend %,
Ask,44.33
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.9
Bid,40.8
Bid Size,500.0
Closing Price,44.15
Day Change $,0.26
Day Change %,0.0059
Day High,44.29
Day Low,44.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.42
Ex-dividend Date,No dividend
Historical Volatility,0.28500000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,63.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",106.37
Prev Close,43.89
Shares Outstanding,1.4B
Short Interest,0.0092
Today's Open,44.08
Volume,1313151.0
Volume 10-day Avg,5308652.0
Volume Past Day,(Light)
