,PACK
Price/Earnings (TTM),
Price/Sales (TTM),1.29848
Price/Book (MRQ),0.75604
Price/Cash Flow (TTM),13.06553
5yr Low,2.9
5yr High,42.97
5yr Avg Return,0.27930000000000005
Short Int Current Month,3245773.0
Short Int Prev Month,3013400.0
Short Int Pct of Float,0.044093299999999995
Days to Cover,3.34919
Float,73.74351
Shares Outstanding,82.00707
Institutions Holding Shares,176.0
% Held by Institutions,0.9731740000000001
FCF Growth 5yr,4.820631139516761
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
