,PACK
% Above Low,0.8931
% Held by Institutions,0.9732
52-Wk Range,['2.90 - 40.97']
Annual Dividend $,
Annual Dividend %,
Ask,5.49
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.6
Bid,5.44
Bid Size,400.0
Day Change $,-0.15
Day Change %,-0.026600000000000002
Day High,5.53
Day Low,5.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.45
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),5.0
Last (time),9:56a ET 11/28/22
Market Cap,450.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.64
Price,5.49
Shares Outstanding,82.0M
Short Interest,0.0441
Today's Open,5.5
Volume Past Day,(Light)
