,PACK
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3090909090909092
Growth 2yr High Est,-0.5294117647058824
Growth 2yr Consensus Est,-0.4192513368983958
Growth 5yr Low Est,-0.3090909090909092
Growth 5yr High Est,-0.5294117647058824
Growth 5yr Consensus Est,-0.4192513368983958
Growth 5yr Actual/Est,3.573717948717949
Growth 3yr Historic,-0.2916666666666667
