,PRU
% Below High,0.1421
% Held by Institutions,0.5733
52-Wk Range,['85.46 - 124.22']
Annual Dividend $,4.8
Annual Dividend %,0.044500000000000005
Ask,106.58
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,106.55
Bid Size,100.0
Day Change $,-1.2
Day Change %,-0.0111
Day High,107.54
Day Low,106.36
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.72
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.30100000000000005
Last (size),100.0
Last (time),11:39a ET 11/28/22
Market Cap,39.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",149.18
Prev Close,107.77
Price,106.57
Shares Outstanding,368.0M
Short Interest,0.0215
Today's Open,106.53
Volume Past Day,(Light)
