,PRU
Price/Earnings (TTM),149.1771
Price/Sales (TTM),0.62812
Price/Book (MRQ),2.41054
Price/Cash Flow (TTM),73.44326
5yr Low,38.62
5yr High,127.14
5yr Avg Return,0.013300000000000001
EPS Growth 5yr,0.149731
Revenue Growth 5yr,0.0375261
Dividend Growth 5yr,0.10438359999999999
Short Int Current Month,7888372.0
Short Int Prev Month,7039157.0
Short Int Pct of Float,0.021463100000000002
Days to Cover,3.25015
Float,367.6113
Shares Outstanding,368.0
Institutions Holding Shares,1458.0
% Held by Institutions,0.573341
FCF Growth 5yr,
