,PRU
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.41781317885590163
Growth 1yr High Est,-0.33873144399460187
Growth 1yr Consensus Est,-0.37827231142525175
Growth 2yr Low Est,-0.1355235048508363
Growth 2yr High Est,-0.016304497507505067
Growth 2yr Consensus Est,-0.07591400117917069
Growth 5yr Low Est,0.0016516190508621131
Growth 5yr High Est,0.07179602537661678
Growth 5yr Consensus Est,0.036723822213739446
Growth 5yr Actual/Est,0.044941663333014276
Growth 3yr Historic,0.07535195454899635
