,MYGN
% Above Low,0.277
% Held by Institutions,0.9995
52-Wk Range,['15.38 - 28.45']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,18.4
Bid Size,100.0
Closing Price,19.64
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.93
Ex-dividend Date,No dividend
Historical Volatility,0.601
Last (size),38.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,19.64
Shares Outstanding,81.0M
Short Interest,0.051100000000000007
Today's Open,
Volume,258290.0
Volume 10-day Avg,527762.0
Volume Past Day,(Light)
