,MYGN
Price/Earnings (TTM),
Price/Sales (TTM),2.40627
Price/Book (MRQ),1.73345
Price/Cash Flow (TTM),
5yr Low,9.24
5yr High,50.44
5yr Avg Return,-0.05678333333333334
Short Int Current Month,4056304.0
Short Int Prev Month,3849355.0
Short Int Pct of Float,0.051105
Days to Cover,4.56758
Float,79.43235
Shares Outstanding,81.03382
Institutions Holding Shares,272.0
% Held by Institutions,0.999485
FCF Growth 5yr,-87.91428630567975
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
