,MP
Price/Earnings (TTM),23.49294
Price/Sales (TTM),11.07451
Price/Book (MRQ),4.75453
Price/Cash Flow (TTM),20.48403
5yr Low,9.78
5yr High,60.19
5yr Avg Return,0.7990666666666665
Short Int Current Month,12303285.0
Short Int Prev Month,12043126.0
Short Int Pct of Float,0.08480399999999999
Days to Cover,5.65873
Float,145.0843
Shares Outstanding,177.543
Institutions Holding Shares,496.0
% Held by Institutions,0.63107
FCF Growth 5yr,-1.1664583984171613
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
