,MP
% Above Low,0.27030000000000004
% Held by Institutions,0.6311
52-Wk Range,['26.19 - 60.19']
Annual Dividend $,
Annual Dividend %,
Ask,34.3
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,31.1
Bid Size,300.0
Change Since Close,-0.79| |(-2.37%)
Closing Price,33.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.42
Ex-dividend Date,No dividend
Historical Volatility,0.674
Last (size),50.0
Last (time),5:00p ET 11/25/22
Last Trade,32.48
Market Cap,5.9B
"P/E Ratio (TTM, GAAP)",23.49
Prev Close,33.27
Shares Outstanding,177.5M
Short Interest,0.0848
Today's Open,
Volume,212.0
Volume 10-day Avg,1605484.0
Volume Past Day,(Light)
