,DAN
Price/Earnings (TTM),
Price/Sales (TTM),0.25828
Price/Book (MRQ),1.57229
Price/Cash Flow (TTM),8.97978
5yr Low,4.22
5yr High,35.27
5yr Avg Return,-0.03921666666666667
EPS Growth 5yr,-0.2092975
Revenue Growth 5yr,0.08953699999999999
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,3010947.0
Short Int Prev Month,3398720.0
Short Int Pct of Float,0.021120800000000002
Days to Cover,2.18846
Float,142.573
Shares Outstanding,143.3535
Institutions Holding Shares,352.0
% Held by Institutions,0.939851
FCF Growth 5yr,-0.5604728671319349
