,DAN
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.7619047619047619
Growth 1yr High Est,-0.721311475409836
Growth 1yr Consensus Est,-0.7416081186572989
Growth 2yr Low Est,0.21190476190476204
Growth 2yr High Est,0.2275795564127292
Growth 2yr Consensus Est,0.21974215915874562
Growth 5yr Low Est,0.10595238095238102
Growth 5yr High Est,0.1137897782063646
Growth 5yr Consensus Est,0.10987107957937281
Growth 5yr Actual/Est,0.7986273085493496
Growth 3yr Historic,0.5959653092006033
