,DAN
% Above Low,0.5927
% Held by Institutions,0.9399
52-Wk Range,['11.17 - 25.51']
Annual Dividend $,0.4
Annual Dividend %,0.0225
Ask,20.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,2.4
Bid,17.55
Bid Size,400.0
Closing Price,17.79
Day Change $,-0.01
Day Change %,-0.0006
Day High,17.87
Day Low,17.64
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",-0.27
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.5710000000000001
Last (size),61.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,17.8
Shares Outstanding,143.4M
Short Interest,0.021099999999999997
Today's Open,17.8
Volume,255407.0
Volume 10-day Avg,1280071.0
Volume Past Day,(Light)
