,EWBC
% Above Low,0.1311
% Held by Institutions,0.8911
52-Wk Range,['61.65 - 93.51']
Annual Dividend $,1.6
Annual Dividend %,0.0229
Ask,70.08
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,67.67
Bid Size,100.0
Closing Price,69.73
Day Change $,0.57
Day Change %,0.008199999999999999
Day High,70.0
Day Low,69.2
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",7.07
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.408
Last (size),56.0
Last (time),12:59p ET 11/25/22
Market Cap,9.8B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",9.86
Prev Close,69.16
Shares Outstanding,140.9M
Short Interest,0.0158
Today's Open,69.74
Volume,204662.0
Volume 10-day Avg,908998.0
Volume Past Day,(Light)
