,ALL
% Below High,0.0626
% Held by Institutions,0.7856000000000001
52-Wk Range,['106.11 - 144.46']
Annual Dividend $,3.4
Annual Dividend %,0.025099999999999997
Ask,137.55
Ask Size,6500.0
B/A Ratio,0.015384615384615385
B/A Size,100x6500
Beta,0.6
Bid,119.0
Bid Size,100.0
Closing Price,135.42
Day Change $,1.07
Day Change %,0.008
Day High,135.54
Day Low,134.12
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",-0.41
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.308
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,35.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,134.35
Shares Outstanding,265.2M
Short Interest,0.013500000000000002
Today's Open,134.96
Volume,513838.0
Volume 10-day Avg,1334406.0
Volume Past Day,(Light)
