,ALLY
Price/Earnings (TTM),4.50757
Price/Sales (TTM),0.86126
Price/Book (MRQ),0.79228
Price/Cash Flow (TTM),2.41069
5yr Low,10.22
5yr High,56.61
5yr Avg Return,0.04538333333333334
EPS Growth 5yr,0.3021524
Revenue Growth 5yr,0.008196799999999999
Dividend Growth 5yr,0.4062824
Short Int Current Month,11521143.0
Short Int Prev Month,12442224.0
Short Int Pct of Float,0.0393525
Days to Cover,2.19603
Float,296.7654
Shares Outstanding,298.6469
Institutions Holding Shares,780.0
% Held by Institutions,0.930859
FCF Growth 5yr,0.03260252542720169
