,ALLY
% Above Low,0.0741
% Held by Institutions,0.9309000000000001
52-Wk Range,['24.83 - 53.83']
Annual Dividend $,1.2
Annual Dividend %,0.045
Ask,26.77
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,1.3
Bid,26.0
Bid Size,100.0
Closing Price,26.67
Day Change $,0.14
Day Change %,0.0053
Day High,26.79
Day Low,26.4
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",5.92
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.459
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,8.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.51
Prev Close,26.53
Shares Outstanding,298.6M
Short Interest,0.0394
Today's Open,26.4
Volume,982365.0
Volume 10-day Avg,4384908.0
Volume Past Day,(Light)
