,DG
Price/Earnings (TTM),25.62455
Price/Sales (TTM),1.64158
Price/Book (MRQ),9.37589
Price/Cash Flow (TTM),19.38322
5yr Low,85.54
5yr High,262.21
5yr Avg Return,0.20895000000000002
EPS Growth 5yr,0.1807847
Revenue Growth 5yr,0.0925103
Dividend Growth 5yr,0.1093328
Short Int Current Month,3719150.0
Short Int Prev Month,3972309.0
Short Int Pct of Float,0.0165631
Days to Cover,2.18244
Float,224.6006
Shares Outstanding,225.5717
Institutions Holding Shares,1656.0
% Held by Institutions,0.905458
FCF Growth 5yr,0.018036929874469476
