,DG
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.1535353535353534
Growth 1yr High Est,0.13746369796708624
Growth 1yr Consensus Est,0.14549952575121983
Growth 2yr Low Est,0.08027030373790434
Growth 2yr High Est,0.12617865749418145
Growth 2yr Consensus Est,0.10322448061604289
Growth 5yr Low Est,0.17559126831287314
Growth 5yr High Est,0.20720145339375676
Growth 5yr Consensus Est,0.19139636085331493
Growth 5yr Actual/Est,0.19274054904785293
Growth 3yr Historic,0.13390900848716847
