,OSUR
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.26
Growth 2yr High Est,-0.31914893617021267
Growth 2yr Consensus Est,-0.02957446808510633
Growth 5yr Low Est,0.26
Growth 5yr High Est,-0.31914893617021267
Growth 5yr Consensus Est,-0.02957446808510633
Growth 5yr Actual/Est,-0.23069234006734005
Growth 3yr Historic,-0.3400673400673401
