,OSUR
Price/Earnings (TTM),
Price/Sales (TTM),1.10051
Price/Book (MRQ),1.05565
Price/Cash Flow (TTM),
5yr Low,2.62
5yr High,22.22
5yr Avg Return,-0.14428333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.127576
Dividend Growth 5yr,
Short Int Current Month,1740581.0
Short Int Prev Month,1958131.0
Short Int Pct of Float,0.0250071
Days to Cover,2.54565
Float,69.77507
Shares Outstanding,72.62204
Institutions Holding Shares,243.0
% Held by Institutions,0.8562869999999999
FCF Growth 5yr,0.056187088573775044
