,OSUR
% Above Low,0.9032
% Held by Institutions,0.8563
52-Wk Range,['2.62 - 9.77']
Annual Dividend $,
Annual Dividend %,
Ask,4.99
Ask Size,800.0
B/A Ratio,0.5
B/A Size,400x800
Beta,0.1
Bid,4.98
Bid Size,400.0
Day Change $,0.0165
Day Change %,0.0033
Day High,4.99
Day Low,4.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.61
Ex-dividend Date,No dividend
Historical Volatility,0.611
Last (size),191.0
Last (time),9:47a ET 11/28/22
Market Cap,360.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,4.97
Price,4.99
Shares Outstanding,72.6M
Short Interest,0.025
Today's Open,4.95
Volume Past Day,(Light)
