,UTZ
% Below High,0.08259999999999999
% Held by Institutions,0.8208
52-Wk Range,['12.06 - 19.98']
Annual Dividend $,0.216
Annual Dividend %,0.0118
Ask,19.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,13.97
Bid Size,200.0
Closing Price,18.33
Day Change $,0.0
Day Change %,0.0
Day High,18.59
Day Low,18.13
Dividend Pay Date,2022-10-06 00:00:00
"EPS (TTM, GAAP)",-0.3
Ex-dividend,2022-09-16 00:00:00
Ex-dividend Date,09/16/22
Historical Volatility,0.40399999999999997
Last (size),300.0
Last (time),7:00p ET 11/28/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.33
Shares Outstanding,80.8M
Short Interest,0.0888
Today's Open,18.27
Volume,409413.0
Volume 10-day Avg,513562.0
Volume Past Day,(Light)
