,UTZ
Price/Earnings (TTM),
Price/Sales (TTM),1.89653
Price/Book (MRQ),3.62281
Price/Cash Flow (TTM),58.75738
5yr Low,9.55
5yr High,30.09
5yr Avg Return,0.21258
Short Int Current Month,5713554.0
Short Int Prev Month,5877832.0
Short Int Pct of Float,0.0887577
Days to Cover,9.49221
Float,64.3692
Shares Outstanding,140.1618
Institutions Holding Shares,230.0
% Held by Institutions,0.8207869999999999
FCF Growth 5yr,-1.100989682845062
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
