,OXM
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3582677165354331
Growth 1yr High Est,0.3287153652392947
Growth 1yr Consensus Est,0.3434915408873639
Growth 2yr Low Est,0.20328844763969722
Growth 2yr High Est,0.24540033664808336
Growth 2yr Consensus Est,0.2243443921438903
Growth 5yr Low Est,-1.55607452216499
Growth 5yr High Est,-1.6616794669009216
Growth 5yr Consensus Est,-1.608876994532956
Growth 5yr Actual/Est,-1.604761794484807
Growth 3yr Historic,-1.7083365305913647
