,OXM
Price/Earnings (TTM),11.32279
Price/Sales (TTM),1.42309
Price/Book (MRQ),3.3675
Price/Cash Flow (TTM),8.62709
5yr Low,30.37
5yr High,119.5
5yr Avg Return,0.10668333333333331
EPS Growth 5yr,0.1891834
Revenue Growth 5yr,0.0223488
Dividend Growth 5yr,0.0661281
Short Int Current Month,1446998.0
Short Int Prev Month,1275807.0
Short Int Pct of Float,0.0968651
Days to Cover,7.25723
Float,14.94527
Shares Outstanding,15.91556
Institutions Holding Shares,322.0
% Held by Institutions,0.9533069999999999
FCF Growth 5yr,1.2360870591536632
