,OXM
% Below High,0.0591
% Held by Institutions,0.9533
52-Wk Range,['76.21 - 119.50']
Annual Dividend $,2.2
Annual Dividend %,0.0195
Ask,113.43
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.5
Bid,112.36
Bid Size,200.0
Day Change $,-0.55
Day Change %,-0.0049
Day High,112.58
Day Low,111.24
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",9.98
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.43700000000000006
Last (size),100.0
Last (time),9:52a ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.32
Prev Close,112.99
Price,112.44
Shares Outstanding,15.9M
Short Interest,0.0969
Today's Open,112.49
Volume Past Day,(Light)
