,MMM
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.04123711340206193
Growth 1yr High Est,0.04444444444444429
Growth 1yr Consensus Est,0.04284077892325311
Growth 2yr Low Est,0.010717566602021111
Growth 2yr High Est,0.0691274446593595
Growth 2yr Consensus Est,0.0399225056306903
Growth 5yr Low Est,0.02777496569406987
Growth 5yr High Est,0.057288264139168626
Growth 5yr Consensus Est,0.04253161491661925
Growth 5yr Actual/Est,0.038457220447708496
Growth 3yr Historic,0.03011245073035007
