,MMM
% Above Low,0.2052
% Held by Institutions,0.6446999999999999
52-Wk Range,['107.07 - 181.78']
Annual Dividend $,5.96
Annual Dividend %,0.0462
Ask,129.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,128.03
Bid Size,100.0
Change Since Close,-0.25| |(-0.19%)
Closing Price,129.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",11.47
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.275
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,128.79
Market Cap,71.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.25
Prev Close,129.04
Shares Outstanding,552.7M
Short Interest,0.024900000000000002
Today's Open,
Volume,143.0
Volume 10-day Avg,2499716.0
Volume Past Day,(Light)
