,MMM
Price/Earnings (TTM),11.24578
Price/Sales (TTM),2.05184
Price/Book (MRQ),5.06576
Price/Cash Flow (TTM),8.43096
5yr Low,107.07
5yr High,259.77
5yr Avg Return,-0.08886666666666666
EPS Growth 5yr,0.043857
Revenue Growth 5yr,0.0326447
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,13765627.0
Short Int Prev Month,14314641.0
Short Int Pct of Float,0.0249351
Days to Cover,5.76572
Float,535.2128
Shares Outstanding,552.7429
Institutions Holding Shares,2536.0
% Held by Institutions,0.644713
FCF Growth 5yr,0.3967143243947904
