,ASC
Price/Earnings (TTM),8.19809
Price/Sales (TTM),1.68689
Price/Book (MRQ),1.48055
Price/Cash Flow (TTM),5.93727
5yr Low,2.61
5yr High,15.34
5yr Avg Return,0.57605
EPS Growth 5yr,
Revenue Growth 5yr,0.0320402
Dividend Growth 5yr,
Short Int Current Month,1230833.0
Short Int Prev Month,1155421.0
Short Int Pct of Float,0.0333347
Days to Cover,1.40371
Float,36.92404
Shares Outstanding,40.54852
Institutions Holding Shares,146.0
% Held by Institutions,0.650416
FCF Growth 5yr,1.2515943776307836
