,ASC
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-3.9649122807017547
Growth 1yr High Est,-4.8659793814432994
Growth 1yr Consensus Est,-4.415445831072527
Growth 2yr Low Est,-2.355237205439635
Growth 2yr High Est,-2.571656357388316
Growth 2yr Consensus Est,-2.4634467814139756
Growth 5yr Low Est,17.096508529706906
Growth 5yr High Est,-4.5349503921050305
Growth 5yr Consensus Est,6.280779068800938
Growth 5yr Actual/Est,-6.397365196078432
Growth 3yr Historic,-5.220238095238096
