,ASC
% Below High,0.024399999999999998
% Held by Institutions,0.6504000000000001
52-Wk Range,['3.09 - 15.58']
Annual Dividend $,
Annual Dividend %,
Ask,18.13
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,14.77
Bid Size,100.0
Closing Price,15.2
Day Change $,0.73
Day Change %,0.0504
Day High,15.58
Day Low,14.42
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.85
Ex-dividend Date,No dividend
Historical Volatility,0.585
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,616.3M
"P/E Ratio (TTM, GAAP)",8.2
Prev Close,14.47
Shares Outstanding,40.5M
Short Interest,0.0333
Today's Open,14.47
Volume,803275.0
Volume 10-day Avg,753236.0
Volume Past Day,(Average)
