,NUS
Price/Earnings (TTM),52.55253
Price/Sales (TTM),0.80761
Price/Book (MRQ),2.29275
Price/Cash Flow (TTM),17.33494
5yr Low,12.31
5yr High,88.68
5yr Avg Return,-0.06643333333333333
EPS Growth 5yr,0.0234123
Revenue Growth 5yr,0.0407382
Dividend Growth 5yr,0.013703700000000001
Short Int Current Month,1960336.0
Short Int Prev Month,3665472.0
Short Int Pct of Float,0.0403256
Days to Cover,2.54834
Float,48.67969
Shares Outstanding,49.4202
Institutions Holding Shares,294.0
% Held by Institutions,0.934223
FCF Growth 5yr,-4.823266304565364
