,NUS
% Above Low,0.29660000000000003
% Held by Institutions,0.9342
52-Wk Range,['29.96 - 56.76']
Annual Dividend $,1.54
Annual Dividend %,0.039599999999999996
Ask,41.0
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,1.2
Bid,34.61
Bid Size,100.0
Closing Price,38.84
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",0.74
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.433
Last (size),25.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",52.55
Prev Close,38.84
Shares Outstanding,49.4M
Short Interest,0.0403
Today's Open,
Volume,185687.0
Volume 10-day Avg,439223.0
Volume Past Day,(Light)
