,NUS
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.3645569620253165
Growth 1yr High Est,-0.36228287841191076
Growth 1yr Consensus Est,-0.36341992021861363
Growth 2yr Low Est,-0.11056533360229964
Growth 2yr High Est,-0.0683009722798853
Growth 2yr Consensus Est,-0.08943315294109247
Growth 5yr Low Est,0.014296621224740153
Growth 5yr High Est,0.03876618052672404
Growth 5yr Consensus Est,0.026531400875732095
Growth 5yr Actual/Est,0.02204748810376908
Growth 3yr Historic,0.0778659024260197
