,PNFP
Price/Earnings (TTM),11.8194
Price/Sales (TTM),4.33535
Price/Book (MRQ),1.25371
Price/Cash Flow (TTM),10.72458
5yr Low,27.8
5yr High,111.31
5yr Avg Return,0.07101666666666667
EPS Growth 5yr,0.183157
Revenue Growth 5yr,0.2318075
Dividend Growth 5yr,0.051547499999999996
Short Int Current Month,1689830.0
Short Int Prev Month,1839500.0
Short Int Pct of Float,0.0225969
Days to Cover,6.00758
Float,74.78513
Shares Outstanding,76.45481
Institutions Holding Shares,506.0
% Held by Institutions,0.8349129999999999
FCF Growth 5yr,1.279951268322118
