,PNFP
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.11702127659574457
Growth 1yr High Est,0.13063063063063063
Growth 1yr Consensus Est,0.1238259536131876
Growth 2yr Low Est,0.01769431176726005
Growth 2yr High Est,0.1629248770683034
Growth 2yr Consensus Est,0.09030959441778172
Growth 5yr Low Est,0.11935296269188442
Growth 5yr High Est,0.17860866516361334
Growth 5yr Consensus Est,0.14898081392774887
Growth 5yr Actual/Est,0.150723638508825
Growth 3yr Historic,0.1063508786521942
