,PNFP
% Above Low,0.2134
% Held by Institutions,0.8349
52-Wk Range,['67.86 - 111.31']
Annual Dividend $,0.88
Annual Dividend %,0.0105
Ask,82.44
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.1
Bid,82.3
Bid Size,300.0
Day Change $,-1.76
Day Change %,-0.0209
Day High,83.27
Day Low,82.11
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",7.12
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.353
Last (size),100.0
Last (time),11:09a ET 11/28/22
Market Cap,6.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.82
Prev Close,84.1
Price,82.34
Shares Outstanding,76.5M
Short Interest,0.0226
Today's Open,83.27
Volume Past Day,(Light)
