,DNLI
Price/Earnings (TTM),
Price/Sales (TTM),36.77106
Price/Book (MRQ),4.57311
Price/Cash Flow (TTM),
5yr Low,12.32
5yr High,93.94
5yr Avg Return,0.4740166666666667
Short Int Current Month,6923825.0
Short Int Prev Month,6982611.0
Short Int Pct of Float,0.0598254
Days to Cover,9.05448
Float,115.7208
Shares Outstanding,135.8137
Institutions Holding Shares,284.0
% Held by Institutions,0.682456
FCF Growth 5yr,0.15502266120598365
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
