,DNLI
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.26605504587155937
Growth 1yr High Est,0.303030303030303
Growth 1yr Consensus Est,0.2845426744509312
Growth 2yr Low Est,0.3141869432256348
Growth 2yr High Est,0.19570119802677943
Growth 2yr Consensus Est,0.2549440706262071
Growth 5yr Low Est,0.1570934716128174
Growth 5yr High Est,0.09785059901338972
Growth 5yr Consensus Est,0.12747203531310355
Growth 5yr Actual/Est,-1.4641815355438474
Growth 3yr Historic,-1.5244996549344378
