,DNLI
% Above Low,0.4807
% Held by Institutions,0.6825
52-Wk Range,['20.24 - 48.46']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.4
Bid,30.0
Bid Size,100.0
Closing Price,29.97
Day Change $,-0.45
Day Change %,-0.0148
Day High,30.61
Day Low,29.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.46
Ex-dividend Date,No dividend
Historical Volatility,0.693
Last (size),47.0
Last (time),12:59p ET 11/25/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,30.42
Shares Outstanding,135.8M
Short Interest,0.059800000000000006
Today's Open,30.09
Volume,165368.0
Volume 10-day Avg,594838.0
Volume Past Day,(Light)
