,MLAB
Price/Earnings (TTM),
Price/Sales (TTM),4.22413
Price/Book (MRQ),2.51431
Price/Cash Flow (TTM),33.09789
5yr Low,114.21
5yr High,333.42
5yr Avg Return,0.10578333333333331
EPS Growth 5yr,-0.3450138
Revenue Growth 5yr,0.14500159999999998
Dividend Growth 5yr,-0.0559125
Short Int Current Month,373921.0
Short Int Prev Month,318276.0
Short Int Pct of Float,0.07459679999999999
Days to Cover,4.44631
Float,5.01347
Shares Outstanding,5.33681
Institutions Holding Shares,223.0
% Held by Institutions,0.916391
FCF Growth 5yr,-1.2334565411311231
