,MLAB
% Above Low,0.544
% Held by Institutions,0.9164
52-Wk Range,['114.21 - 333.42']
Annual Dividend $,0.64
Annual Dividend %,0.0036
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,176.33
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-0.76
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.41500000000000004
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,941.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,176.33
Shares Outstanding,5.3M
Short Interest,0.0746
Today's Open,
Volume,21681.0
Volume 10-day Avg,77997.0
Volume Past Day,(Light)
