,MRC
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-4.8
Growth 1yr High Est,-7.76470588235294
Growth 1yr Consensus Est,-6.28235294117647
Growth 2yr Low Est,-2.220175438596491
Growth 2yr High Est,-3.6519181585677742
Growth 2yr Consensus Est,-2.9360467985821326
Growth 5yr Low Est,-1.487206363366042
Growth 5yr High Est,-2.1358182342134646
Growth 5yr Consensus Est,-1.8115122987897534
Growth 5yr Actual/Est,0.20918148880105403
Growth 3yr Historic,-0.8409090909090908
