,MRC
% Below High,0.1343
% Held by Institutions,0.9620000000000001
52-Wk Range,['6.38 - 13.45']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,2.2
Bid,11.25
Bid Size,
Closing Price,11.64
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.562
Last (size),39.0
Last (time),5:00p ET 11/25/22
Market Cap,973.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.37
Prev Close,11.64
Shares Outstanding,83.6M
Short Interest,0.0215
Today's Open,
Volume,139983.0
Volume 10-day Avg,502682.0
Volume Past Day,(Light)
