,PBH
% Below High,0.0504
% Held by Institutions,1.0229000000000001
52-Wk Range,['48.51 - 63.47']
Annual Dividend $,
Annual Dividend %,
Ask,60.43
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,60.21
Bid Size,200.0
Day Change $,-0.11
Day Change %,-0.0018
Day High,60.48
Day Low,59.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.11
Ex-dividend Date,No dividend
Historical Volatility,0.275
Last (size),14.0
Last (time),10:05a ET 11/28/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.68
Prev Close,60.38
Price,60.27
Shares Outstanding,49.5M
Short Interest,0.0223
Today's Open,60.47
Volume Past Day,(Light)
