,PBH
Price/Earnings (TTM),14.6826
Price/Sales (TTM),2.69953
Price/Book (MRQ),1.84609
Price/Cash Flow (TTM),12.36904
5yr Low,26.25
5yr High,63.83
5yr Avg Return,0.10391666666666666
EPS Growth 5yr,0.2544347
Revenue Growth 5yr,0.042632500000000004
Dividend Growth 5yr,
Short Int Current Month,1093339.0
Short Int Prev Month,1340255.0
Short Int Pct of Float,0.0222688
Days to Cover,5.00501
Float,49.11531
Shares Outstanding,49.52595
Institutions Holding Shares,379.0
% Held by Institutions,1.022864
FCF Growth 5yr,0.1693441713286513
