,PBH
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.07179487179487176
Growth 1yr High Est,0.07228915662650603
Growth 1yr Consensus Est,0.0720420142106889
Growth 2yr Low Est,0.056232364127100976
Growth 2yr High Est,0.05075131988628667
Growth 2yr Consensus Est,0.053491842006693824
Growth 5yr Low Est,0.11336735347032828
Growth 5yr High Est,0.12003015798747191
Growth 5yr Consensus Est,0.1166987557289001
Growth 5yr Actual/Est,0.11156531818400173
Growth 3yr Historic,0.08692025358692024
