,STER
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.24444444444444446
Growth 1yr High Est,0.0747663551401867
Growth 1yr Consensus Est,0.15960539979231558
Growth 2yr Low Est,0.05972222222222218
Growth 2yr High Est,0.09390491670052814
Growth 2yr Consensus Est,0.07681356946137516
Growth 5yr Low Est,0.05972222222222218
Growth 5yr High Est,0.09390491670052814
Growth 5yr Consensus Est,0.07681356946137516
Growth 5yr Actual/Est,0.10017334184837146
Growth 3yr Historic,0.0
