,STER
% Above Low,0.0589
% Held by Institutions,0.23829999999999998
52-Wk Range,['12.22 - 28.76']
Annual Dividend $,
Annual Dividend %,
Ask,12.97
Ask Size,600.0
B/A Ratio,0.6666666666666666
B/A Size,400x600
Beta,
Bid,12.94
Bid Size,400.0
Day Change $,-0.35
Day Change %,-0.0263
Day High,13.25
Day Low,12.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.3
Ex-dividend Date,No dividend
Historical Volatility,0.633
Last (size),100.0
Last (time),3:28p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",44.01
Prev Close,13.29
Price,12.94
Shares Outstanding,97.1M
Short Interest,0.0141
Today's Open,13.06
Volume Past Day,(Light)
